"bootstrap","Ya0g0","Ya0g1","Ya1g0","Ya1g1","pNDE","tNDE","pNDE_m","tNDE_m","pNIE","tNIE","pNIE_m","tNIE_m","TE","TE_m"
68,0.72812,0.73289,0.820313333333333,0.826643333333333,0.0921933333333333,0.0937533333333333,1.12666515678749,1.12795982210077,0.00477,0.00633000000000001,1.00659988508395,1.00773323256733,0.0985233333333333,1.13536786838354
69,0.71214,0.7171,0.80553,0.813926666666667,0.09339,0.0968266666666667,1.13117825838267,1.13504963233939,0.00496,0.00839666666666667,1.00699233810596,1.01045133608093,0.101786666666667,1.1429562937122
70,0.725276666666667,0.725406666666667,0.816573333333333,0.8235,0.0912966666666667,0.0980933333333333,1.1259277442021,1.13525762053709,0.000129999999999989,0.00692666666666666,1.00021757976446,1.00850193070182,0.0982233333333333,1.1354757225579
71,0.717213333333333,0.721723333333333,0.825383333333333,0.833073333333333,0.10817,0.11135,1.15086293780646,1.15433190401188,0.00451,0.00769,1.00632151344036,1.00933351755812,0.11586,1.16157887522057
72,0.732916666666667,0.74102,0.80964,0.82011,0.0767233333333333,0.07909,1.10472187710433,1.10677500009602,0.00810333333333334,0.01047,1.01108085514848,1.01295953786278,0.0871933333333333,1.11900517207117
73,0.752076666666667,0.75787,0.816903333333333,0.827196666666667,0.0648266666666667,0.0693266666666667,1.08624453958832,1.09150220663614,0.00579333333333334,0.0102933333333333,1.00775607177576,1.01261728484153,0.07512,1.09992556671693
74,0.73245,0.737523333333333,0.808023333333333,0.820206666666667,0.0755733333333333,0.0826833333333333,1.10323287912342,1.11213710327324,0.00507333333333333,0.0121833333333333,1.00696412183707,1.01510237899093,0.0877566666666667,1.11985249613359
75,0.709603333333333,0.715556666666667,0.836976666666667,0.845063333333333,0.127373333333333,0.129506666666667,1.1795564668545,1.18102851675004,0.00595333333333333,0.00808666666666666,1.0084271441523,1.00968301821625,0.13546,1.19094282961185
76,0.726953333333333,0.72702,0.80463,0.810996666666667,0.0776766666666667,0.0839766666666667,1.10690909579745,1.11555186748249,6.66666666666667e-05,0.00636666666666666,1.00016582303367,1.0079239797836,0.0840433333333333,1.11566959727135
77,0.729573333333333,0.733166666666667,0.833023333333333,0.842163333333333,0.10345,0.108996666666667,1.14182813745865,1.14869222183413,0.00359333333333333,0.00913999999999999,1.00494494881808,1.0109835118585,0.11259,1.15435213150401
78,0.73288,0.736916666666667,0.809073333333333,0.816493333333333,0.0761933333333333,0.0795766666666667,1.10401333708519,1.10802976886092,0.00403666666666668,0.00742000000000001,1.00556437137256,1.00920496875921,0.0836133333333333,1.1141405949872
79,0.726903333333333,0.731813333333333,0.818173333333333,0.828363333333333,0.09127,0.09655,1.12557332424566,1.13198433779751,0.00491,0.01019,1.00676031021286,1.0124869964534,0.10146,1.13960440214015
80,0.750283333333333,0.753306666666667,0.81052,0.817476666666667,0.0602366666666667,0.06417,1.08032670301836,1.08521433130625,0.00302333333333332,0.00695666666666666,1.00406575676261,1.00860920175697,0.0671933333333333,1.08959321446027
81,0.741386666666667,0.74533,0.811066666666667,0.818726666666667,0.06968,0.0733966666666667,1.09402088103727,1.09850327734331,0.00394333333333333,0.00766,1.0053586983765,1.00946045415263,0.07734,1.10435626520012
82,0.735406666666667,0.742116666666667,0.8117,0.82102,0.0762933333333333,0.0789033333333333,1.10379290714964,1.1063574997663,0.00671,0.00932,1.00917329201065,1.01150162869026,0.0856133333333333,1.11646799592899
83,0.738746666666667,0.74413,0.822786666666667,0.82962,0.08404,0.08549,1.1137700867294,1.1149084207792,0.00538333333333333,0.00683333333333334,1.00730400741827,1.00833142246948,0.0908733333333333,1.12302490834816
84,0.72668,0.729803333333333,0.816156666666667,0.82222,0.0894766666666667,0.0924166666666667,1.12316884447659,1.1266648709245,0.00312333333333333,0.00606333333333334,1.00432312404093,1.00744416839479,0.09554,1.13152173208712
85,0.73738,0.745636666666667,0.81921,0.82938,0.08183,0.0837433333333333,1.11102942221444,1.11234342965046,0.00825666666666667,0.01017,1.01124438596283,1.01244036452363,0.092,1.12481772386842
86,0.731873333333333,0.73406,0.80836,0.818003333333333,0.0764866666666667,0.0839433333333333,1.10455407815058,1.11438119509989,0.00218666666666667,0.00964333333333334,1.00302625953041,1.01195812558609,0.08613,1.11773233261301
87,0.731383333333333,0.73648,0.82477,0.83131,0.0933866666666666,0.09483,1.12773112638586,1.12879958386888,0.00509666666666666,0.00654000000000002,1.00699751872958,1.00795652114084,0.0999266666666667,1.13667086584711
88,0.745286666666667,0.752446666666667,0.8054,0.810646666666667,0.0601133333333333,0.0582,1.08067289743425,1.07739458075995,0.00716,0.00524666666666666,1.00962730046337,1.00653996389545,0.06536,1.08771627562154
89,0.71416,0.71835,0.809706666666667,0.814896666666667,0.0955466666666667,0.0965466666666667,1.13384291998472,1.13443831459173,0.00418999999999999,0.00518999999999999,1.00591587800104,1.00642828099495,0.100736666666667,1.141106562302
90,0.746896666666667,0.75272,0.821273333333333,0.829803333333333,0.0743766666666666,0.0770833333333333,1.0996263315766,1.10245240258243,0.00582333333333332,0.00853,1.00784544014851,1.01039555618913,0.0829066666666666,1.11103896511711
91,0.723043333333333,0.722753333333333,0.807326666666667,0.817136666666667,0.0842833333333333,0.0943833333333333,1.11661697240789,1.13064455446663,-0.000289999999999994,0.00981,0.999639968691888,1.01217759278536,0.0940933333333333,1.13018112502689
